Node,superkingdom,kingdom,phylum
63787, Eukaryota , Viridiplantae , Streptophyta 
63787, Eukaryota , Viridiplantae , Streptophyta 
63787, Eukaryota , Viridiplantae , Streptophyta 
63787, Eukaryota , Viridiplantae , Streptophyta 
63787, Eukaryota , Viridiplantae , Streptophyta 
97700, Eukaryota , Viridiplantae , Streptophyta 
97700, Eukaryota , Viridiplantae , Streptophyta 
72036, Eukaryota , Metazoa , Arthropoda 
163714, Eukaryota , Metazoa , Arthropoda 
170555, Eukaryota , Metazoa , Arthropoda 
629360, Eukaryota , Metazoa , Arthropoda 
399045, Eukaryota , Metazoa , Arthropoda 
629358, Eukaryota , Metazoa , Arthropoda 
242159, Eukaryota , Viridiplantae , Chlorophyta 
172671, Eukaryota , Other, Other
420281, Eukaryota , Other, Bacillariophyta 
420281, Eukaryota , Other, Bacillariophyta 
33657, Eukaryota , Other, Haptophyta 
38833, Eukaryota , Viridiplantae , Chlorophyta 
1486918, Eukaryota , Viridiplantae , Chlorophyta 
51329, Eukaryota , Viridiplantae , Chlorophyta 
1486918, Eukaryota , Viridiplantae , Chlorophyta 
63605, Eukaryota , Other, Heterolobosea 
312471, Eukaryota , Other, Euglenozoa 
1077150, Eukaryota , Other, Rhodophyta 
124430, Eukaryota , Other, Other
124430, Eukaryota , Other, Other
2925, Eukaryota , Other, Other
1486929, Eukaryota , Other, Tubulinea 
236787, Eukaryota , Other, Other
236787, Eukaryota , Other, Other
35687, Eukaryota , Other, Other
236787, Eukaryota , Other, Other
267567, Eukaryota , Other, Bacillariophyta 
1034831, Eukaryota , Other, Other
49252, Eukaryota , Other, Bacillariophyta 
1034831, Eukaryota , Other, Other
641309, Eukaryota , Other, Cercozoa 
420275, Eukaryota , Other, Bacillariophyta 
96639, Eukaryota , Other, Other
96639, Eukaryota , Other, Other
420275, Eukaryota , Other, Bacillariophyta 
265537, Eukaryota , Other, Bacillariophyta 
464258, Eukaryota , Viridiplantae , Chlorophyta 
156174, Eukaryota , Other, Haptophyta 
1461544, Eukaryota , Viridiplantae , Chlorophyta 
265554, Eukaryota , Other, Bacillariophyta 
265554, Eukaryota , Other, Bacillariophyta 
652834, Eukaryota , Other, Other
44445, Eukaryota , Other, Bacillariophyta 
13221, Eukaryota , Other, Haptophyta 
73025, Eukaryota , Other, Euglenozoa 
2969, Eukaryota , Other, Other
265563, Eukaryota , Other, Bacillariophyta 
265563, Eukaryota , Other, Bacillariophyta 
265563, Eukaryota , Other, Bacillariophyta 
2969, Eukaryota , Other, Other
265563, Eukaryota , Other, Bacillariophyta 
265563, Eukaryota , Other, Bacillariophyta 
55529, Eukaryota , Other, Other
49249, Eukaryota , Other, Bacillariophyta 
49249, Eukaryota , Other, Bacillariophyta 
49249, Eukaryota , Other, Bacillariophyta 
113103, Eukaryota , Metazoa , Arthropoda 
36651, Eukaryota , Fungi , Ascomycota 
3483, Eukaryota , Viridiplantae , Streptophyta 
3483, Eukaryota , Viridiplantae , Streptophyta 
214687, Eukaryota , Viridiplantae , Streptophyta 
214687, Eukaryota , Viridiplantae , Streptophyta 
214687, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
4577, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
422564, Eukaryota , Viridiplantae , Streptophyta 
631055, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
631055, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
878477, Eukaryota , Other, Other
1519616, Eukaryota , Other, Other
2952, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
89957, Eukaryota , Other, Other
