Node,superkingdom,kingdom
3635, Eukaryota , Viridiplantae 
3635, Eukaryota , Viridiplantae 
7004, Eukaryota , Metazoa 
372326, Eukaryota , Metazoa 
418985, Eukaryota , Metazoa 
2072580, Eukaryota , Metazoa 
224129, Eukaryota , Metazoa 
860918, Eukaryota , Metazoa 
7160, Eukaryota , Metazoa 
141984, Eukaryota , Metazoa 
8713, Eukaryota , Metazoa 
400682, Eukaryota , Metazoa 
7054, Eukaryota , Metazoa 
6335, Eukaryota , Metazoa 
6938, Eukaryota , Metazoa 
6573, Eukaryota , Metazoa 
46360, Eukaryota , Metazoa 
278856, Eukaryota , Metazoa 
299123, Eukaryota , Metazoa 
22663, Eukaryota , Viridiplantae 
22663, Eukaryota , Viridiplantae 
156445, Eukaryota , Metazoa 
60191, Eukaryota , Metazoa 
9009, Eukaryota , Metazoa 
543379, Eukaryota , Metazoa 
387005, Eukaryota , Metazoa 
51338, Eukaryota , Metazoa 
31234, Eukaryota , Metazoa 
31234, Eukaryota , Metazoa 
1503980, Eukaryota , Metazoa 
1503980, Eukaryota , Metazoa 
282301, Eukaryota , Metazoa 
282301, Eukaryota , Metazoa 
282301, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
43179, Eukaryota , Metazoa 
43179, Eukaryota , Metazoa 
265619, Eukaryota , Metazoa 
2018661, Eukaryota , Metazoa 
7102, Eukaryota , Metazoa 
54126, Eukaryota , Metazoa 
54126, Eukaryota , Metazoa 
50429, Eukaryota , Metazoa 
6526, Eukaryota , Metazoa 
3983, Eukaryota , Viridiplantae 
7998, Eukaryota , Metazoa 
129470, Eukaryota , Metazoa 
218851, Eukaryota , Viridiplantae 
218851, Eukaryota , Viridiplantae 
218851, Eukaryota , Viridiplantae 
1611254, Eukaryota , Metazoa 
1611254, Eukaryota , Metazoa 
307972, Eukaryota , Metazoa 
7108, Eukaryota , Metazoa 
55188, Eukaryota , Viridiplantae 
129465, Eukaryota , Metazoa 
742174, Eukaryota , Metazoa 
22663, Eukaryota , Viridiplantae 
9595, Eukaryota , Metazoa 
9595, Eukaryota , Metazoa 
9595, Eukaryota , Metazoa 
9595, Eukaryota , Metazoa 
9595, Eukaryota , Metazoa 
61853, Eukaryota , Metazoa 
61853, Eukaryota , Metazoa 
9555, Eukaryota , Metazoa 
9555, Eukaryota , Metazoa 
9555, Eukaryota , Metazoa 
9555, Eukaryota , Metazoa 
9598, Eukaryota , Metazoa 
9598, Eukaryota , Metazoa 
9598, Eukaryota , Metazoa 
52670, Eukaryota , Metazoa 
51240, Eukaryota , Viridiplantae 
4236, Eukaryota , Viridiplantae 
105785, Eukaryota , Metazoa 
105785, Eukaryota , Metazoa 
9598, Eukaryota , Metazoa 
9601, Eukaryota , Metazoa 
9601, Eukaryota , Metazoa 
9601, Eukaryota , Metazoa 
3694, Eukaryota , Viridiplantae 
37293, Eukaryota , Metazoa 
37293, Eukaryota , Metazoa 
9531, Eukaryota , Metazoa 
9531, Eukaryota , Metazoa 
9531, Eukaryota , Metazoa 
9531, Eukaryota , Metazoa 
9531, Eukaryota , Metazoa 
2715852, Eukaryota , Metazoa 
2715852, Eukaryota , Metazoa 
9541, Eukaryota , Metazoa 
9541, Eukaryota , Metazoa 
9541, Eukaryota , Metazoa 
9541, Eukaryota , Metazoa 
9568, Eukaryota , Metazoa 
9568, Eukaryota , Metazoa 
9568, Eukaryota , Metazoa 
9568, Eukaryota , Metazoa 
9545, Eukaryota , Metazoa 
9545, Eukaryota , Metazoa 
9545, Eukaryota , Metazoa 
9545, Eukaryota , Metazoa 
9545, Eukaryota , Metazoa 
9545, Eukaryota , Metazoa 
379532, Eukaryota , Metazoa 
379532, Eukaryota , Metazoa 
379532, Eukaryota , Metazoa 
61621, Eukaryota , Metazoa 
61621, Eukaryota , Metazoa 
61621, Eukaryota , Metazoa 
61621, Eukaryota , Metazoa 
61621, Eukaryota , Metazoa 
61622, Eukaryota , Metazoa 
61622, Eukaryota , Metazoa 
61622, Eukaryota , Metazoa 
61622, Eukaryota , Metazoa 
39432, Eukaryota , Metazoa 
39432, Eukaryota , Metazoa 
39432, Eukaryota , Metazoa 
39432, Eukaryota , Metazoa 
1955184, Eukaryota , Metazoa 
58242, Eukaryota , Metazoa 
58242, Eukaryota , Metazoa 
58242, Eukaryota , Metazoa 
58253, Eukaryota , Metazoa 
58253, Eukaryota , Metazoa 
58253, Eukaryota , Metazoa 
58244, Eukaryota , Metazoa 
43151, Eukaryota , Metazoa 
9083, Eukaryota , Metazoa 
31234, Eukaryota , Metazoa 
31234, Eukaryota , Metazoa 
3634, Eukaryota , Viridiplantae 
9597, Eukaryota , Metazoa 
9597, Eukaryota , Metazoa 
9597, Eukaryota , Metazoa 
9597, Eukaryota , Metazoa 
13262, Eukaryota , Metazoa 
143950, Eukaryota , Metazoa 
27350, Eukaryota , Fungi 
27350, Eukaryota , Fungi 
400727, Eukaryota , Metazoa 
52904, Eukaryota , Metazoa 
127582, Eukaryota , Metazoa 
9755, Eukaryota , Metazoa 
9755, Eukaryota , Metazoa 
29088, Eukaryota , Metazoa 
29088, Eukaryota , Metazoa 
391180, Eukaryota , Metazoa 
42344, Eukaryota , Metazoa 
8355, Eukaryota , Metazoa 
33528, Eukaryota , Metazoa 
179676, Eukaryota , Metazoa 
179676, Eukaryota , Metazoa 
9685, Eukaryota , Metazoa 
9685, Eukaryota , Metazoa 
118797, Eukaryota , Metazoa 
1706337, Eukaryota , Metazoa 
1706337, Eukaryota , Metazoa 
29170, Eukaryota , Metazoa 
29170, Eukaryota , Metazoa 
2039874, Eukaryota , Fungi 
287889, Eukaryota , Metazoa 
310752, Eukaryota , Metazoa 
310752, Eukaryota , Metazoa 
41047, Eukaryota , Fungi 
1245748, Eukaryota , Fungi 
3711, Eukaryota , Viridiplantae 
7266, Eukaryota , Metazoa 
7994, Eukaryota , Metazoa 
7994, Eukaryota , Metazoa 
7994, Eukaryota , Metazoa 
30732, Eukaryota , Metazoa 
30732, Eukaryota , Metazoa 
1676925, Eukaryota , Metazoa 
48699, Eukaryota , Metazoa 
48701, Eukaryota , Metazoa 
48701, Eukaryota , Metazoa 
409849, Eukaryota , Metazoa 
