Node,superkingdom,kingdom,phylum
860918, Eukaryota , Metazoa , Arthropoda 
7160, Eukaryota , Metazoa , Arthropoda 
141984, Eukaryota , Metazoa , Arthropoda 
8713, Eukaryota , Metazoa , Chordata 
400682, Eukaryota , Metazoa , Porifera 
7054, Eukaryota , Metazoa , Arthropoda 
6335, Eukaryota , Metazoa , Nematoda 
6938, Eukaryota , Metazoa , Arthropoda 
6573, Eukaryota , Metazoa , Mollusca 
46360, Eukaryota , Metazoa , Chordata 
278856, Eukaryota , Metazoa , Arthropoda 
299123, Eukaryota , Metazoa , Chordata 
22663, Eukaryota , Viridiplantae , Streptophyta 
22663, Eukaryota , Viridiplantae , Streptophyta 
156445, Eukaryota , Metazoa , Arthropoda 
60191, Eukaryota , Metazoa , Arthropoda 
9009, Eukaryota , Metazoa , Chordata 
543379, Eukaryota , Metazoa , Arthropoda 
387005, Eukaryota , Metazoa , Nematoda 
51338, Eukaryota , Metazoa , Chordata 
31234, Eukaryota , Metazoa , Nematoda 
31234, Eukaryota , Metazoa , Nematoda 
1503980, Eukaryota , Metazoa , Nematoda 
1503980, Eukaryota , Metazoa , Nematoda 
282301, Eukaryota , Metazoa , Platyhelminthes 
282301, Eukaryota , Metazoa , Platyhelminthes 
282301, Eukaryota , Metazoa , Platyhelminthes 
9823, Eukaryota , Metazoa , Chordata 
9823, Eukaryota , Metazoa , Chordata 
9823, Eukaryota , Metazoa , Chordata 
43179, Eukaryota , Metazoa , Chordata 
43179, Eukaryota , Metazoa , Chordata 
265619, Eukaryota , Metazoa , Arthropoda 
2018661, Eukaryota , Metazoa , Nematoda 
7102, Eukaryota , Metazoa , Arthropoda 
54126, Eukaryota , Metazoa , Nematoda 
54126, Eukaryota , Metazoa , Nematoda 
50429, Eukaryota , Metazoa , Cnidaria 
6526, Eukaryota , Metazoa , Mollusca 
3983, Eukaryota , Viridiplantae , Streptophyta 
7998, Eukaryota , Metazoa , Chordata 
129470, Eukaryota , Metazoa , Chordata 
218851, Eukaryota , Viridiplantae , Streptophyta 
218851, Eukaryota , Viridiplantae , Streptophyta 
218851, Eukaryota , Viridiplantae , Streptophyta 
1611254, Eukaryota , Metazoa , Nematoda 
1611254, Eukaryota , Metazoa , Nematoda 
307972, Eukaryota , Metazoa , Echinodermata 
7108, Eukaryota , Metazoa , Arthropoda 
55188, Eukaryota , Viridiplantae , Streptophyta 
129465, Eukaryota , Metazoa , Chordata 
742174, Eukaryota , Metazoa , Arthropoda 
22663, Eukaryota , Viridiplantae , Streptophyta 
9595, Eukaryota , Metazoa , Chordata 
9595, Eukaryota , Metazoa , Chordata 
9595, Eukaryota , Metazoa , Chordata 
9595, Eukaryota , Metazoa , Chordata 
9595, Eukaryota , Metazoa , Chordata 
61853, Eukaryota , Metazoa , Chordata 
61853, Eukaryota , Metazoa , Chordata 
9555, Eukaryota , Metazoa , Chordata 
9555, Eukaryota , Metazoa , Chordata 
9555, Eukaryota , Metazoa , Chordata 
9555, Eukaryota , Metazoa , Chordata 
9598, Eukaryota , Metazoa , Chordata 
9598, Eukaryota , Metazoa , Chordata 
9598, Eukaryota , Metazoa , Chordata 
52670, Eukaryota , Metazoa , Chordata 
51240, Eukaryota , Viridiplantae , Streptophyta 
4236, Eukaryota , Viridiplantae , Streptophyta 
105785, Eukaryota , Metazoa , Arthropoda 
105785, Eukaryota , Metazoa , Arthropoda 
9598, Eukaryota , Metazoa , Chordata 
9601, Eukaryota , Metazoa , Chordata 
9601, Eukaryota , Metazoa , Chordata 
9601, Eukaryota , Metazoa , Chordata 
3694, Eukaryota , Viridiplantae , Streptophyta 
37293, Eukaryota , Metazoa , Chordata 
37293, Eukaryota , Metazoa , Chordata 
9531, Eukaryota , Metazoa , Chordata 
9531, Eukaryota , Metazoa , Chordata 
9531, Eukaryota , Metazoa , Chordata 
9531, Eukaryota , Metazoa , Chordata 
9531, Eukaryota , Metazoa , Chordata 
2715852, Eukaryota , Metazoa , Chordata 
2715852, Eukaryota , Metazoa , Chordata 
9541, Eukaryota , Metazoa , Chordata 
9541, Eukaryota , Metazoa , Chordata 
9541, Eukaryota , Metazoa , Chordata 
9541, Eukaryota , Metazoa , Chordata 
9568, Eukaryota , Metazoa , Chordata 
9568, Eukaryota , Metazoa , Chordata 
9568, Eukaryota , Metazoa , Chordata 
9568, Eukaryota , Metazoa , Chordata 
9545, Eukaryota , Metazoa , Chordata 
9545, Eukaryota , Metazoa , Chordata 
9545, Eukaryota , Metazoa , Chordata 
9545, Eukaryota , Metazoa , Chordata 
9545, Eukaryota , Metazoa , Chordata 
9545, Eukaryota , Metazoa , Chordata 
379532, Eukaryota , Metazoa , Chordata 
379532, Eukaryota , Metazoa , Chordata 
379532, Eukaryota , Metazoa , Chordata 
61621, Eukaryota , Metazoa , Chordata 
61621, Eukaryota , Metazoa , Chordata 
61621, Eukaryota , Metazoa , Chordata 
61621, Eukaryota , Metazoa , Chordata 
61621, Eukaryota , Metazoa , Chordata 
61622, Eukaryota , Metazoa , Chordata 
61622, Eukaryota , Metazoa , Chordata 
61622, Eukaryota , Metazoa , Chordata 
61622, Eukaryota , Metazoa , Chordata 
39432, Eukaryota , Metazoa , Chordata 
39432, Eukaryota , Metazoa , Chordata 
39432, Eukaryota , Metazoa , Chordata 
39432, Eukaryota , Metazoa , Chordata 
1955184, Eukaryota , Metazoa , Arthropoda 
58242, Eukaryota , Metazoa , Arthropoda 
58242, Eukaryota , Metazoa , Arthropoda 
58242, Eukaryota , Metazoa , Arthropoda 
58253, Eukaryota , Metazoa , Arthropoda 
58253, Eukaryota , Metazoa , Arthropoda 
58253, Eukaryota , Metazoa , Arthropoda 
58244, Eukaryota , Metazoa , Arthropoda 
43151, Eukaryota , Metazoa , Arthropoda 
9083, Eukaryota , Metazoa , Chordata 
31234, Eukaryota , Metazoa , Nematoda 
31234, Eukaryota , Metazoa , Nematoda 
3634, Eukaryota , Viridiplantae , Streptophyta 
9597, Eukaryota , Metazoa , Chordata 
9597, Eukaryota , Metazoa , Chordata 
9597, Eukaryota , Metazoa , Chordata 
9597, Eukaryota , Metazoa , Chordata 
13262, Eukaryota , Metazoa , Arthropoda 
143950, Eukaryota , Metazoa , Arthropoda 
27350, Eukaryota , Fungi , Basidiomycota 
27350, Eukaryota , Fungi , Basidiomycota 
400727, Eukaryota , Metazoa , Mollusca 
52904, Eukaryota , Metazoa , Chordata 
127582, Eukaryota , Metazoa , Chordata 
9755, Eukaryota , Metazoa , Chordata 
9755, Eukaryota , Metazoa , Chordata 
29088, Eukaryota , Metazoa , Chordata 
29088, Eukaryota , Metazoa , Chordata 
391180, Eukaryota , Metazoa , Chordata 
42344, Eukaryota , Metazoa , Mollusca 
8355, Eukaryota , Metazoa , Chordata 
33528, Eukaryota , Metazoa , Chordata 
179676, Eukaryota , Metazoa , Arthropoda 
179676, Eukaryota , Metazoa , Arthropoda 
9685, Eukaryota , Metazoa , Chordata 
9685, Eukaryota , Metazoa , Chordata 
118797, Eukaryota , Metazoa , Chordata 
1706337, Eukaryota , Metazoa , Chordata 
1706337, Eukaryota , Metazoa , Chordata 
29170, Eukaryota , Metazoa , Nematoda 
29170, Eukaryota , Metazoa , Nematoda 
2039874, Eukaryota , Fungi , Ascomycota 
287889, Eukaryota , Metazoa , Placozoa 
310752, Eukaryota , Metazoa , Chordata 
310752, Eukaryota , Metazoa , Chordata 
41047, Eukaryota , Fungi , Ascomycota 
1245748, Eukaryota , Fungi , Ascomycota 
3711, Eukaryota , Viridiplantae , Streptophyta 
7266, Eukaryota , Metazoa , Arthropoda 
7994, Eukaryota , Metazoa , Chordata 
7994, Eukaryota , Metazoa , Chordata 
7994, Eukaryota , Metazoa , Chordata 
30732, Eukaryota , Metazoa , Chordata 
30732, Eukaryota , Metazoa , Chordata 
1676925, Eukaryota , Metazoa , Chordata 
48699, Eukaryota , Metazoa , Chordata 
48701, Eukaryota , Metazoa , Chordata 
48701, Eukaryota , Metazoa , Chordata 
