Node,superkingdom,kingdom,phylum
73025, Eukaryota , Other, Euglenozoa 
91324, Eukaryota , Other, Cercozoa 
91324, Eukaryota , Other, Cercozoa 
91324, Eukaryota , Other, Cercozoa 
35677, Eukaryota , Other, Other
13221, Eukaryota , Other, Haptophyta 
13221, Eukaryota , Other, Haptophyta 
13221, Eukaryota , Other, Haptophyta 
73025, Eukaryota , Other, Euglenozoa 
73025, Eukaryota , Other, Euglenozoa 
73025, Eukaryota , Other, Euglenozoa 
2969, Eukaryota , Other, Other
55529, Eukaryota , Other, Other
72548, Eukaryota , Other, Haptophyta 
1487602, Eukaryota , Other, Discosea 
1487602, Eukaryota , Other, Discosea 
1487602, Eukaryota , Other, Discosea 
1487602, Eukaryota , Other, Discosea 
1487602, Eukaryota , Other, Discosea 
72548, Eukaryota , Other, Haptophyta 
72548, Eukaryota , Other, Haptophyta 
265563, Eukaryota , Other, Bacillariophyta 
72548, Eukaryota , Other, Haptophyta 
55529, Eukaryota , Other, Other
55529, Eukaryota , Other, Other
55529, Eukaryota , Other, Other
1487602, Eukaryota , Other, Discosea 
265563, Eukaryota , Other, Bacillariophyta 
72548, Eukaryota , Other, Haptophyta 
72548, Eukaryota , Other, Haptophyta 
55529, Eukaryota , Other, Other
55529, Eukaryota , Other, Other
180227, Eukaryota , Other, Discosea 
180227, Eukaryota , Other, Discosea 
55529, Eukaryota , Other, Other
55529, Eukaryota , Other, Other
311494, Eukaryota , Other, Other
311494, Eukaryota , Other, Other
311494, Eukaryota , Other, Other
311494, Eukaryota , Other, Other
49249, Eukaryota , Other, Bacillariophyta 
49249, Eukaryota , Other, Bacillariophyta 
49249, Eukaryota , Other, Bacillariophyta 
49249, Eukaryota , Other, Bacillariophyta 
311494, Eukaryota , Other, Other
49249, Eukaryota , Other, Bacillariophyta 
311494, Eukaryota , Other, Other
311494, Eukaryota , Other, Other
49249, Eukaryota , Other, Bacillariophyta 
5807, Eukaryota , Other, Apicomplexa 
2654249, Bacteria , Other, Pseudomonadota 
877507, Eukaryota , Fungi , Ascomycota 
2763270, Viruses , Other, Other
2763270, Viruses , Other, Other
36651, Eukaryota , Fungi , Ascomycota 
36651, Eukaryota , Fungi , Ascomycota 
36651, Eukaryota , Fungi , Ascomycota 
36651, Eukaryota , Fungi , Ascomycota 
217165, Eukaryota , Metazoa , Arthropoda 
217165, Eukaryota , Metazoa , Arthropoda 
5059, Eukaryota , Fungi , Ascomycota 
1869227, Bacteria , Other, Other
2049433, Bacteria , Other, Thermodesulfobacteriota 
1898104, Bacteria , Other, Bacteroidota 
150723, Bacteria , Other, Pseudomonadota 
1138170, Bacteria , Other, Pseudomonadota 
1967781, Bacteria , Other, Pseudomonadota 
1967781, Bacteria , Other, Pseudomonadota 
354352, Bacteria , Other, Pseudomonadota 
462372, Bacteria , Other, Pseudomonadota 
293958, Bacteria , Other, Pseudomonadota 
2587113, Bacteria , Other, Pseudomonadota 
2030927, Bacteria , Other, Bacteroidota 
2053306, Bacteria , Other, Ignavibacteriota 
2728849, Bacteria , Other, Pseudomonadota 
2026778, Bacteria , Other, Planctomycetota 
2742698, Bacteria , Other, Pseudomonadota 
1118451, Bacteria , Other, Pseudomonadota 
2049432, Bacteria , Other, Pseudomonadota 
1898104, Bacteria , Other, Bacteroidota 
8364, Eukaryota , Metazoa , Chordata 
63459, Eukaryota , Viridiplantae , Streptophyta 
63459, Eukaryota , Viridiplantae , Streptophyta 
63459, Eukaryota , Viridiplantae , Streptophyta 
63459, Eukaryota , Viridiplantae , Streptophyta 
63459, Eukaryota , Viridiplantae , Streptophyta 
63459, Eukaryota , Viridiplantae , Streptophyta 
63459, Eukaryota , Viridiplantae , Streptophyta 
3483, Eukaryota , Viridiplantae , Streptophyta 
3483, Eukaryota , Viridiplantae , Streptophyta 
3483, Eukaryota , Viridiplantae , Streptophyta 
3483, Eukaryota , Viridiplantae , Streptophyta 
