Node,"['Kingdom', 'N', 'C']"
13329,"['E', 'Achillea', 'Common']"
37486,"['B', 'Achromobacter', '']"
236538,"['E', 'Achondrostoma', 'Ruivaco']"
129026,"['B', 'Achromobacter', '']"
691692,"['E', 'Acharia', 'Saddleback']"
33015,"['B', 'Acholeplasma', '']"
112802,"['E', 'Acharia', '']"
63345,"['E', 'Achlys', 'Vanilla']"
762376,"['B', 'Achromobacter', '']"
1171373,"['B', 'Acidipropionibacterium', '']"
62977,"['B', 'Acinetobacter', '']"
2283,"['A', 'Acidianus', '']"
107673,"['B', 'Acinetobacter', '']"
76588,"['B', 'Acidiphilium', '']"
48024,"['E', 'Aciphylla', 'Golden']"
696749,"['B', 'Acinetobacter', '']"
575584,"['B', 'Acinetobacter', '']"
557600,"['B', 'Acinetobacter', '']"
439481,"['A', 'Aciduliprofundum', '']"
480119,"['B', 'Acinetobacter', '']"
1310692,"['B', 'Acinetobacter', '']"
1310613,"['B', 'Acinetobacter', '']"
470,"['B', 'Acinetobacter', '']"
405416,"['B', 'Acinetobacter', '']"
980514,"['B', 'Acinetobacter', '']"
27689,"['E', 'Acipenser', 'Siberian']"
202950,"['B', 'Acinetobacter', '']"
497978,"['B', 'Acinetobacter', '']"
7907,"['E', 'Acipenser', 'Shortnose']"
509170,"['B', 'Acinetobacter', '']"
400667,"['B', 'Acinetobacter', '']"
509173,"['B', 'Acinetobacter', '']"
106648,"['B', 'Acinetobacter', '']"
351607,"['B', 'Acidothermus', '']"
240015,"['B', 'Acidobacterium', '']"
471,"['B', 'Acinetobacter', '']"
28049,"['B', 'Acidothermus', '']"
78691,"['E', 'Acineta', 'Orchid']"
349163,"['B', 'Acidiphilium', '']"
637389,"['B', 'Acidithiobacillus', '']"
871585,"['B', 'Acinetobacter', '']"
3018,"['E', 'Acinetospora', 'Brown']"
990288,"['B', 'Acidithiobacillus', '']"
524,"['B', 'Acidiphilium', '']"
62061,"['E', 'Acipenser', 'Yangtze']"
47920,"['B', 'Acidovorax', '']"
535289,"['B', 'Acidovorax', '']"
